id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,married,car_possession,offspring,offspring_identified
11,46.0,Self Enquiry,1,16.0,smallbusiness,MALE,1.0,3.0,superdeluxe,4.0,6.0,0,3,avp,416430.0,0.0,離婚済み,車なし,0,0
12,49.0,Company Invited,1,32.0,smallbusiness,FEMALE,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,477555.0,0.0,独身,車なし,0,0
13,51.0,Self Enquiry,2,17.0,smallbusiness,FEMALE,1.0,3.0,superdeluxe,4.0,5.0,0,4,avp,440000.0,0.0,結婚済み,車なし,0,0
14,53.0,Company Invited,2,14.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,3,executive,300000.0,1.0,独身,車なし,0,0
15,20.0,Self Enquiry,1,24.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,253665.0,1.0,独身,車なし,0,0
16,25.0,Company Invited,2,23.0,smallbusiness,MALE,1.0,3.0,basic,3.0,1.0,0,3,executive,258600.0,1.0,独身,車あり,0,0
17,53.0,Self Enquiry,2,35.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,500000.0,1.0,未婚,車なし,0,0
18,25.0,Company Invited,2,7.0,smallbusiness,FEMALE,1.0,3.0,standard,3.0,1.0,1,3,seniormanager,400000.0,0.0,結婚済み,車あり,0,0
19,44.0,Company Invited,2,5.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,1.0,1,4,avp,286245.0,0.0,結婚済み,車あり,0,0
20,30.0,Self Enquiry,1,8.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,455250.0,0.0,未婚,車あり,0,0
21,34.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,263715.0,0.0,離婚済み,車なし,0,0
22,29.0,Company Invited,1,8.0,salaried,FEMALE,1.0,3.0,basic,3.0,1.0,0,3,executive,262725.0,1.0,離婚済み,車あり,0,0
23,56.0,Company Invited,2,15.0,salaried,MALE,1.0,3.0,superdeluxe,3.0,1.0,0,3,avp,431265.0,0.0,結婚済み,車なし,0,0
24,35.0,Self Enquiry,2,16.0,salaried,MALE,1.0,3.0,basic,3.0,2.0,0,4,executive,250275.0,0.0,離婚済み,車なし,0,0
25,41.0,Company Invited,2,,salaried,MALE,1.0,3.0,deluxe,3.0,1.0,0,4,manager,303345.0,0.0,結婚済み,車あり,0,0
26,,Self Enquiry,1,,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,0,4,manager,256845.0,0.0,独身,車なし,0,0
27,55.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,368940.0,0.0,未婚,車なし,0,0
28,52.0,Self Enquiry,1,17.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,456405.0,0.0,結婚済み,車なし,0,0
29,22.0,Self Enquiry,2,10.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,4,executive,258885.0,1.0,独身,車あり,0,0
30,36.0,Company Invited,2,15.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,1,3,manager,316680.0,0.0,結婚済み,車あり,0,0
31,52.0,Self Enquiry,3,32.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,2.0,1,5,avp,500000.0,0.0,離婚済み,車なし,0,0
32,46.0,Company Invited,3,8.0,salaried,MALE,1.0,3.0,standard,3.0,5.0,1,4,seniormanager,359730.0,0.0,未婚,車なし,0,0
33,30.0,Company Invited,2,15.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,1,3,seniormanager,410000.0,0.0,結婚済み,車あり,0,0
34,28.0,Self Enquiry,1,9.0,salaried,FEMALE,1.0,3.0,basic,3.0,5.0,1,3,executive,270000.0,0.0,独身,車あり,0,0
35,25.0,Self Enquiry,2,14.0,salaried,MALE,1.0,3.0,basic,3.0,2.0,1,4,executive,255405.0,1.0,独身,車なし,0,0
36,51.0,Company Invited,1,26.0,smallbusiness,FEMALE,1.0,4.0,superdeluxe,3.0,1.0,0,2,avp,485055.0,0.0,独身,車なし,0,0
37,50.0,Self Enquiry,3,13.0,salaried,FEMALE,1.0,4.0,standard,4.0,5.0,0,1,seniormanager,370000.0,0.0,未婚,車あり,0,0
38,48.0,Company Invited,1,12.0,salaried,FEMALE,1.0,4.0,standard,3.0,2.0,0,1,seniormanager,401775.0,0.0,未婚,車なし,0,0
39,55.0,Company Invited,1,8.0,smallbusiness,FEMALE,1.0,5.0,standard,3.0,4.0,0,3,seniormanager,477000.0,0.0,結婚済み,車なし,0,0
40,38.0,Company Invited,2,14.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,378210.0,1.0,結婚済み,車あり,0,0
41,33.0,Self Enquiry,2,14.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,2,executive,248490.0,1.0,独身,車なし,0,0
42,42.0,Company Invited,2,10.0,salaried,MALE,1.0,3.0,deluxe,3.0,2.0,0,2,manager,268440.0,0.0,結婚済み,車あり,0,0
43,55.0,Company Invited,2,21.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,362580.0,0.0,独身,車あり,0,0
44,33.0,,1,,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,0,1,manager,282075.0,0.0,結婚済み,車あり,0,0
45,35.0,Company Invited,1,13.0,largebusiness,FEMALE,1.0,3.0,standard,4.0,1.0,0,1,seniormanager,356760.0,0.0,結婚済み,車なし,0,0
46,59.0,Company Invited,2,8.0,smallbusiness,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,364980.0,0.0,結婚済み,車あり,0,0
47,43.0,Company Invited,2,14.0,smallbusiness,MALE,1.0,3.0,standard,3.0,5.0,0,2,manager,350310.0,0.0,結婚済み,車なし,0,0
48,32.0,Company Invited,2,25.0,salaried,MALE,1.0,4.0,standard,3.0,3.0,0,2,seniormanager,429570.0,1.0,未婚,車あり,0,0
49,47.0,Self Enquiry,1,15.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,1,executive,272475.0,0.0,離婚済み,車あり,0,0
50,42.0,Company Invited,2,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,273840.0,0.0,離婚済み,車あり,0,0
51,53.0,Self Enquiry,1,12.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,1,seniormanager,372150.0,0.0,未婚,車なし,0,0
52,56.0,Self Enquiry,1,11.0,salaried,MALE,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,462615.0,0.0,結婚済み,車なし,0,0
53,33.0,Company Invited,1,11.0,salaried,MALE,1.0,3.0,standard,3.0,5.0,0,2,seniormanager,345690.0,0.0,未婚,車あり,0,0
54,58.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,4.0,0,1,manager,397245.0,0.0,未婚,車あり,0,0
55,33.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,5.0,0,2,manager,297855.0,0.0,結婚済み,車なし,0,0
56,32.0,Company Invited,1,9.0,smallbusiness,MALE,1.0,3.0,basic,3.0,1.0,0,1,executive,269895.0,0.0,独身,車なし,0,0
57,50.0,Company Invited,2,16.0,salaried,MALE,1.0,3.0,standard,4.0,5.0,1,1,seniormanager,427050.0,1.0,結婚済み,車なし,0,0
58,45.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,418080.0,0.0,未婚,車なし,0,0
59,26.0,Company Invited,2,17.0,largebusiness,MALE,1.0,3.0,basic,3.0,2.0,1,2,executive,264615.0,1.0,独身,車あり,0,0
60,47.0,Self Enquiry,2,15.0,smallbusiness,MALE,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,415545.0,0.0,独身,車あり,0,0
61,47.0,Company Invited,2,10.0,largebusiness,MALE,1.0,3.0,basic,3.0,1.0,1,2,executive,258915.0,1.0,離婚済み,車なし,0,0
62,52.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,507870.0,0.0,独身,車なし,0,0
63,29.0,Company Invited,2,13.0,smallbusiness,MALE,1.0,5.0,deluxe,3.0,7.0,0,1,manager,303960.0,0.0,離婚済み,車あり,0,0
64,44.0,Self Enquiry,2,7.0,smallbusiness,MALE,1.0,5.0,deluxe,3.0,1.0,0,2,manager,309645.0,0.0,結婚済み,車あり,0,0
65,54.0,Company Invited,1,12.0,smallbusiness,MALE,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,400000.0,0.0,離婚済み,車なし,0,0
66,51.0,Company Invited,2,7.0,salaried,MALE,2.0,4.0,superdeluxe,3.0,3.0,0,2,avp,479610.0,0.0,結婚済み,車なし,0,0
67,59.0,Company Invited,1,13.0,salaried,MALE,2.0,4.0,superdeluxe,3.0,4.0,0,1,avp,463050.0,0.0,結婚済み,車なし,0,0
68,25.0,Company Invited,1,7.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,270735.0,0.0,独身,車あり,0,0
69,29.0,Company Invited,1,15.0,salaried,FEMALE,2.0,4.0,basic,3.0,5.0,0,2,executive,263865.0,0.0,離婚済み,車あり,0,0
70,21.0,Self Enquiry,2,13.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,3.0,0,2,executive,316770.0,1.0,結婚済み,車あり,0,0
71,56.0,Self Enquiry,1,10.0,smallbusiness,MALE,2.0,4.0,superdeluxe,3.0,6.0,0,1,avp,400000.0,0.0,結婚済み,車なし,0,0
72,55.0,Self Enquiry,3,6.0,smallbusiness,FEMALE,2.0,4.0,standard,3.0,4.0,0,2,seniormanager,358935.0,0.0,未婚,車なし,0,0
73,57.0,Company Invited,1,8.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,2,executive,263010.0,0.0,独身,車なし,0,0
74,37.0,Company Invited,1,13.0,largebusiness,MALE,2.0,4.0,basic,4.0,7.0,0,2,executive,273900.0,1.0,離婚済み,車あり,0,0
75,25.0,Self Enquiry,1,13.0,salaried,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,257295.0,0.0,離婚済み,車あり,0,0
76,53.0,Company Invited,2,14.0,smallbusiness,MALE,2.0,4.0,standard,4.0,5.0,0,2,seniormanager,438195.0,0.0,未婚,車なし,0,0
77,35.0,Company Invited,1,8.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,0,1,executive,267480.0,0.0,離婚済み,車なし,0,0
78,35.0,Company Invited,3,12.0,salaried,MALE,2.0,4.0,standard,4.0,1.0,0,2,seniormanager,438210.0,0.0,離婚済み,車なし,0,0
79,36.0,Company Invited,1,11.0,smallbusiness,FEMALE,2.0,4.0,standard,3.0,2.0,0,2,seniormanager,371820.0,0.0,離婚済み,車なし,0,0
80,36.0,Company Invited,3,18.0,smallbusiness,FEMALE,2.0,5.0,standard,3.0,1.0,0,1,seniormanager,300000.0,0.0,離婚済み,車あり,0,0
81,38.0,Self Enquiry,2,5.0,salaried,MALE,2.0,4.0,standard,3.0,5.0,0,2,seniormanager,410000.0,0.0,離婚済み,車あり,0,0
82,49.0,Self Enquiry,3,15.0,smallbusiness,FEMALE,2.0,4.0,standard,4.0,2.0,0,1,seniormanager,370000.0,0.0,結婚済み,車なし,0,0
83,37.0,Self Enquiry,1,31.0,largebusiness,FEMALE,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,393705.0,0.0,未婚,車あり,0,0
84,50.0,Self Enquiry,2,14.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,5.0,1,2,executive,263730.0,1.0,独身,車あり,0,0
85,51.0,Self Enquiry,2,10.0,salaried,MALE,2.0,4.0,standard,3.0,3.0,1,2,seniormanager,366900.0,0.0,独身,車なし,0,0
86,43.0,Self Enquiry,2,11.0,smallbusiness,MALE,2.0,4.0,basic,3.0,5.0,1,2,executive,262560.0,1.0,離婚済み,車あり,0,0
87,40.0,Self Enquiry,2,15.0,smallbusiness,FEMALE,2.0,4.0,deluxe,3.0,2.0,1,1,manager,437895.0,0.0,離婚済み,車あり,0,0
88,,Self Enquiry,1,9.0,largebusiness,MALE,1.0,3.0,basic,3.0,1.0,0,3,executive,269235.0,0.0,結婚済み,車あり,0,0
89,54.0,Self Enquiry,2,16.0,smallbusiness,MALE,1.0,1.0,superdeluxe,4.0,1.0,1,4,avp,428610.0,0.0,結婚済み,車なし,0,0
90,,Company Invited,2,15.0,largebusiness,FEMALE,1.0,4.0,basic,3.0,1.0,0,3,executive,243540.0,1.0,独身,車あり,0,0
91,26.0,Company Invited,2,17.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,256455.0,0.0,独身,車あり,0,0
92,45.0,Company Invited,1,23.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,5,executive,252360.0,0.0,結婚済み,車なし,0,0
93,31.0,Company Invited,3,14.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,3,executive,260000.0,0.0,離婚済み,車なし,0,0
94,27.0,Company Invited,2,15.0,salaried,FEMALE,1.0,1.0,basic,3.0,2.0,0,3,executive,256890.0,0.0,結婚済み,車なし,0,0
95,40.0,Self Enquiry,1,11.0,salaried,FEMALE,1.0,2.0,deluxe,3.0,1.0,0,3,manager,331515.0,0.0,独身,車あり,0,0
96,,Company Invited,1,17.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,6.0,1,4,manager,270870.0,1.0,結婚済み,車あり,0,0
97,33.0,Self Enquiry,2,9.0,smallbusiness,MALE,2.0,4.0,basic,3.0,1.0,0,4,executive,320000.0,1.0,独身,車なし,0,0
98,20.0,Self Enquiry,2,35.0,smallbusiness,MALE,2.0,4.0,basic,3.0,3.0,0,3,executive,262500.0,1.0,結婚済み,車あり,0,0
99,58.0,Company Invited,2,15.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,3,executive,266790.0,0.0,離婚済み,車あり,0,0
100,33.0,Self Enquiry,1,17.0,smallbusiness,FEMALE,2.0,4.0,basic,4.0,2.0,1,3,executive,271980.0,1.0,独身,車あり,0,0
101,20.0,Company Invited,2,11.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,1,4,executive,300000.0,1.0,独身,車なし,0,0
102,32.0,Self Enquiry,2,28.0,smallbusiness,MALE,2.0,4.0,basic,3.0,5.0,1,4,executive,349995.0,1.0,離婚済み,車なし,0,0
103,34.0,Self Enquiry,2,20.0,salaried,FEMALE,2.0,4.0,basic,3.0,7.0,0,4,executive,270405.0,1.0,離婚済み,車あり,0,0
104,25.0,Company Invited,2,15.0,salaried,FEMALE,2.0,4.0,basic,3.0,7.0,0,3,executive,295065.0,1.0,独身,車なし,0,0
105,51.0,Self Enquiry,2,15.0,smallbusiness,FEMALE,1.0,4.0,basic,3.0,2.0,0,2,executive,274395.0,0.0,離婚済み,車なし,0,0
106,40.0,Company Invited,2,7.0,salaried,MALE,1.0,4.0,superdeluxe,3.0,5.0,0,2,avp,280200.0,0.0,離婚済み,車なし,0,0
107,26.0,Company Invited,3,11.0,salaried,MALE,1.0,4.0,standard,3.0,3.0,1,2,seniormanager,370000.0,1.0,結婚済み,車なし,0,0
108,22.0,Company Invited,2,9.0,largebusiness,MALE,1.0,4.0,basic,3.0,2.0,1,2,executive,254535.0,1.0,独身,車なし,0,0
109,46.0,Self Enquiry,1,10.0,salaried,MALE,2.0,3.0,deluxe,3.0,3.0,0,2,manager,,0.0,結婚済み,車あり,0,0
110,21.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,3.0,0,1,executive,258405.0,0.0,独身,車なし,0,0
111,24.0,Company Invited,2,14.0,salaried,MALE,2.0,3.0,standard,3.0,3.0,0,2,seniormanager,344400.0,1.0,独身,車なし,0,0
112,45.0,Self Enquiry,2,12.0,salaried,MALE,2.0,3.0,deluxe,3.0,5.0,0,2,manager,330000.0,0.0,離婚済み,車なし,0,0
113,33.0,Self Enquiry,1,7.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,1.0,0,1,executive,254205.0,0.0,離婚済み,車なし,0,0
114,33.0,Company Invited,1,16.0,salaried,MALE,2.0,3.0,deluxe,3.0,2.0,0,2,manager,288480.0,0.0,離婚済み,車なし,0,0
115,56.0,Company Invited,2,15.0,salaried,FEMALE,2.0,3.0,superdeluxe,3.0,2.0,0,2,avp,500000.0,0.0,結婚済み,車なし,0,0
116,36.0,Self Enquiry,1,13.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,500000.0,0.0,結婚済み,車なし,0,0
117,41.0,Company Invited,1,17.0,salaried,MALE,2.0,3.0,superdeluxe,4.0,3.0,0,2,avp,413865.0,0.0,独身,車なし,0,0
118,50.0,Self Enquiry,2,6.0,smallbusiness,MALE,2.0,3.0,superdeluxe,4.0,1.0,0,2,avp,460000.0,0.0,離婚済み,車なし,0,0
119,31.0,Self Enquiry,1,17.0,largebusiness,FEMALE,2.0,4.0,basic,3.0,5.0,0,1,executive,257340.0,0.0,独身,車あり,0,0
120,22.0,Company Invited,3,16.0,salaried,FEMALE,2.0,3.0,basic,3.0,2.0,0,1,executive,255405.0,0.0,独身,車なし,0,0
121,38.0,Company Invited,2,16.0,smallbusiness,FEMALE,2.0,3.0,basic,4.0,5.0,0,2,executive,270000.0,1.0,独身,車なし,0,0
122,38.0,Company Invited,1,18.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,5.0,0,3,executive,249315.0,0.0,独身,車あり,0,0
123,31.0,Company Invited,2,16.0,salaried,MALE,2.0,3.0,basic,3.0,2.0,0,1,executive,259680.0,0.0,離婚済み,車なし,0,0
124,18.0,Company Invited,2,8.0,largebusiness,MALE,2.0,3.0,basic,3.0,7.0,0,2,executive,242280.0,1.0,独身,車なし,0,0
125,52.0,Company Invited,3,8.0,smallbusiness,MALE,1.0,3.0,king,3.0,1.0,0,5,vp,274515.0,0.0,独身,車あり,0,0
126,45.0,Company Invited,3,9.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,4.0,0,3,executive,264480.0,0.0,結婚済み,車あり,0,0
127,30.0,Company Invited,1,12.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,5.0,0,1,executive,258390.0,0.0,離婚済み,車なし,0,0
128,38.0,Company Invited,2,14.0,salaried,MALE,2.0,3.0,deluxe,3.0,2.0,0,2,manager,260310.0,1.0,独身,車あり,0,0
129,43.0,Company Invited,2,8.0,salaried,MALE,2.0,3.0,standard,3.0,2.0,0,1,seniormanager,445575.0,0.0,離婚済み,車なし,0,0
130,43.0,Self Enquiry,3,16.0,smallbusiness,MALE,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,436320.0,0.0,独身,車なし,0,0
131,35.0,Company Invited,3,16.0,salaried,FEMALE,2.0,4.0,deluxe,3.0,3.0,0,1,manager,371775.0,0.0,結婚済み,車あり,0,0
132,26.0,Company Invited,1,14.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,267015.0,1.0,独身,車あり,0,0
133,46.0,Company Invited,3,17.0,largebusiness,FEMALE,2.0,3.0,standard,4.0,5.0,0,2,seniormanager,336735.0,0.0,離婚済み,車なし,0,0
134,52.0,Self Enquiry,2,17.0,smallbusiness,MALE,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,404385.0,0.0,独身,車なし,0,0
135,39.0,Self Enquiry,1,7.0,salaried,MALE,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,365130.0,0.0,離婚済み,車あり,0,0
136,46.0,Self Enquiry,2,9.0,largebusiness,FEMALE,2.0,3.0,superdeluxe,4.0,2.0,0,2,avp,483855.0,0.0,独身,車なし,0,1
137,43.0,Self Enquiry,1,16.0,salaried,FEMALE,2.0,3.0,king,4.0,1.0,0,1,vp,474720.0,0.0,独身,車あり,0,0
138,46.0,Self Enquiry,1,13.0,smallbusiness,MALE,2.0,3.0,basic,3.0,4.0,0,2,executive,257970.0,0.0,独身,車あり,0,0
139,45.0,Self Enquiry,1,17.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,1.0,0,2,executive,268350.0,0.0,独身,車なし,0,0
140,55.0,Self Enquiry,1,17.0,salaried,FEMALE,2.0,3.0,deluxe,3.0,1.0,0,2,manager,400320.0,0.0,結婚済み,車あり,0,0
141,55.0,Self Enquiry,2,8.0,salaried,FEMALE,1.0,3.0,king,3.0,2.0,0,3,vp,420780.0,0.0,結婚済み,車なし,0,0
142,50.0,Company Invited,1,13.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,4,executive,269235.0,0.0,離婚済み,車あり,0,0
143,58.0,Self Enquiry,2,11.0,salaried,MALE,2.0,3.0,basic,3.0,2.0,1,1,executive,270540.0,0.0,独身,車あり,0,0
144,27.0,Self Enquiry,2,7.0,salaried,FEMALE,2.0,3.0,basic,3.0,1.0,1,2,executive,258285.0,1.0,離婚済み,車なし,0,0
145,55.0,Self Enquiry,2,15.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,1,1,seniormanager,274380.0,1.0,独身,車あり,0,0
146,36.0,Company Invited,3,14.0,smallbusiness,FEMALE,2.0,3.0,superdeluxe,3.0,4.0,1,1,avp,431010.0,0.0,独身,車あり,0,0
147,50.0,Company Invited,3,13.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,1,2,seniormanager,373845.0,0.0,未婚,車あり,0,0
148,34.0,Company Invited,2,14.0,smallbusiness,MALE,3.0,5.0,basic,3.0,6.0,0,1,executive,,0.0,独身,車あり,0,0
149,24.0,Company Invited,3,15.0,salaried,FEMALE,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,353670.0,0.0,結婚済み,車なし,0,0
150,53.0,Self Enquiry,1,14.0,salaried,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,449715.0,0.0,独身,車なし,0,0
151,38.0,Self Enquiry,2,10.0,salaried,FEMALE,3.0,4.0,standard,3.0,1.0,0,2,seniormanager,398475.0,0.0,離婚済み,車なし,0,0
152,45.0,Self Enquiry,1,8.0,salaried,FEMALE,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,390000.0,0.0,未婚,車あり,0,0
153,50.0,Self Enquiry,1,36.0,smallbusiness,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,1,avp,490000.0,0.0,結婚済み,車なし,0,1
154,38.0,Self Enquiry,3,14.0,smallbusiness,MALE,3.0,4.0,basic,4.0,2.0,0,2,executive,265110.0,0.0,独身,車あり,0,0
155,41.0,Self Enquiry,1,8.0,largebusiness,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,385905.0,0.0,独身,車なし,0,0
156,39.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,1.0,3.0,standard,3.0,3.0,0,2,seniormanager,411855.0,0.0,独身,車あり,0,0
157,30.0,Self Enquiry,1,8.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,2,executive,257025.0,0.0,離婚済み,車なし,0,0
158,27.0,Company Invited,1,8.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,264345.0,0.0,独身,車なし,0,0
159,31.0,Self Enquiry,2,8.0,smallbusiness,MALE,1.0,3.0,basic,3.0,7.0,0,2,executive,251850.0,1.0,独身,車あり,0,0
160,46.0,Self Enquiry,1,11.0,smallbusiness,MALE,1.0,3.0,king,3.0,6.0,0,2,vp,467460.0,0.0,離婚済み,車あり,0,0
161,45.0,Company Invited,1,7.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,2.0,0,2,avp,476955.0,0.0,結婚済み,車あり,0,0
162,52.0,Company Invited,1,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,4.0,0,2,executive,277005.0,0.0,独身,車あり,0,0
163,35.0,Self Enquiry,1,7.0,largebusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,2,executive,245340.0,0.0,独身,車あり,0,0
164,43.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,1.0,0,2,executive,278595.0,0.0,離婚済み,車なし,0,0
165,27.0,Company Invited,2,15.0,largebusiness,MALE,2.0,4.0,basic,3.0,6.0,1,2,executive,296055.0,1.0,独身,車あり,0,0
166,36.0,Self Enquiry,2,8.0,salaried,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,264990.0,0.0,独身,車なし,0,0
167,40.0,Company Invited,1,14.0,smallbusiness,FEMALE,1.0,1.0,standard,3.0,1.0,0,1,seniormanager,430470.0,0.0,結婚済み,車なし,0,0
168,33.0,Company Invited,2,18.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,1.0,0,1,avp,342585.0,1.0,独身,車あり,0,0
169,31.0,Company Invited,2,16.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,2,executive,260000.0,1.0,独身,車あり,0,0
170,31.0,Company Invited,2,14.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,2.0,0,1,manager,332460.0,0.0,独身,車あり,0,0
171,28.0,Company Invited,1,14.0,salaried,MALE,1.0,,deluxe,3.0,3.0,0,2,manager,300000.0,0.0,独身,車なし,0,0
172,26.0,Self Enquiry,2,18.0,smallbusiness,MALE,1.0,1.0,basic,3.0,5.0,0,2,executive,256650.0,1.0,離婚済み,車あり,0,0
173,,Company Invited,1,13.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,275160.0,0.0,離婚済み,車あり,0,0
