Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,married,car_possession,offspring,offspring_identified,ProdTaken
51.0,Self Enquiry,2,17.0,smallbusiness,FEMALE,1.0,3.0,superdeluxe,4.0,5.0,0,4,avp,440000.0,結婚済み,車なし,0,0,0
53.0,Company Invited,2,14.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,3,executive,300000.0,独身,車なし,0,0,1
20.0,Self Enquiry,1,24.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,253665.0,独身,車なし,0,0,1
25.0,Company Invited,2,23.0,smallbusiness,MALE,1.0,3.0,basic,3.0,1.0,0,3,executive,258600.0,独身,車あり,0,0,1
53.0,Self Enquiry,2,35.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,500000.0,未婚,車なし,0,0,1
25.0,Company Invited,2,7.0,smallbusiness,FEMALE,1.0,3.0,standard,3.0,1.0,1,3,seniormanager,400000.0,結婚済み,車あり,0,0,0
44.0,Company Invited,2,5.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,1.0,1,4,avp,286245.0,結婚済み,車あり,0,0,0
30.0,Self Enquiry,1,8.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,455250.0,未婚,車あり,0,0,0
34.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,263715.0,離婚済み,車なし,0,0,0
29.0,Company Invited,1,8.0,salaried,FEMALE,1.0,3.0,basic,3.0,1.0,0,3,executive,262725.0,離婚済み,車あり,0,0,1
56.0,Company Invited,2,15.0,salaried,MALE,1.0,3.0,superdeluxe,3.0,1.0,0,3,avp,431265.0,結婚済み,車なし,0,0,0
35.0,Self Enquiry,2,16.0,salaried,MALE,1.0,3.0,basic,3.0,2.0,0,4,executive,250275.0,離婚済み,車なし,0,0,0
41.0,Company Invited,2,,salaried,MALE,1.0,3.0,deluxe,3.0,1.0,0,4,manager,303345.0,結婚済み,車あり,0,0,0
,Self Enquiry,1,,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,0,4,manager,256845.0,独身,車なし,0,0,0
55.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,368940.0,未婚,車なし,0,0,0
52.0,Self Enquiry,1,17.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,456405.0,結婚済み,車なし,0,0,0
22.0,Self Enquiry,2,10.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,4,executive,258885.0,独身,車あり,0,0,1
36.0,Company Invited,2,15.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,1,3,manager,316680.0,結婚済み,車あり,0,0,0
52.0,Self Enquiry,3,32.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,2.0,1,5,avp,500000.0,離婚済み,車なし,0,0,0
46.0,Company Invited,3,8.0,salaried,MALE,1.0,3.0,standard,3.0,5.0,1,4,seniormanager,359730.0,未婚,車なし,0,0,0
30.0,Company Invited,2,15.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,1,3,seniormanager,410000.0,結婚済み,車あり,0,0,0
28.0,Self Enquiry,1,9.0,salaried,FEMALE,1.0,3.0,basic,3.0,5.0,1,3,executive,270000.0,独身,車あり,0,0,0
25.0,Self Enquiry,2,14.0,salaried,MALE,1.0,3.0,basic,3.0,2.0,1,4,executive,255405.0,独身,車なし,0,0,1
51.0,Company Invited,1,26.0,smallbusiness,FEMALE,1.0,4.0,superdeluxe,3.0,1.0,0,2,avp,485055.0,独身,車なし,0,0,0
50.0,Self Enquiry,3,13.0,salaried,FEMALE,1.0,4.0,standard,4.0,5.0,0,1,seniormanager,370000.0,未婚,車あり,0,0,0
48.0,Company Invited,1,12.0,salaried,FEMALE,1.0,4.0,standard,3.0,2.0,0,1,seniormanager,401775.0,未婚,車なし,0,0,0
55.0,Company Invited,1,8.0,smallbusiness,FEMALE,1.0,5.0,standard,3.0,4.0,0,3,seniormanager,477000.0,結婚済み,車なし,0,0,0
38.0,Company Invited,2,14.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,378210.0,結婚済み,車あり,0,0,1
33.0,Self Enquiry,2,14.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,2,executive,248490.0,独身,車なし,0,0,1
42.0,Company Invited,2,10.0,salaried,MALE,1.0,3.0,deluxe,3.0,2.0,0,2,manager,268440.0,結婚済み,車あり,0,0,0
55.0,Company Invited,2,21.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,362580.0,独身,車あり,0,0,0
33.0,,1,,salaried,FEMALE,1.0,3.0,deluxe,3.0,1.0,0,1,manager,282075.0,結婚済み,車あり,0,0,0
35.0,Company Invited,1,13.0,largebusiness,FEMALE,1.0,3.0,standard,4.0,1.0,0,1,seniormanager,356760.0,結婚済み,車なし,0,0,0
59.0,Company Invited,2,8.0,smallbusiness,MALE,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,364980.0,結婚済み,車あり,0,0,0
43.0,Company Invited,2,14.0,smallbusiness,MALE,1.0,3.0,standard,3.0,5.0,0,2,manager,350310.0,結婚済み,車なし,0,0,0
32.0,Company Invited,2,25.0,salaried,MALE,1.0,4.0,standard,3.0,3.0,0,2,seniormanager,429570.0,未婚,車あり,0,0,1
47.0,Self Enquiry,1,15.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,1,executive,272475.0,離婚済み,車あり,0,0,0
42.0,Company Invited,2,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,273840.0,離婚済み,車あり,0,0,0
53.0,Self Enquiry,1,12.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,1,seniormanager,372150.0,未婚,車なし,0,0,0
56.0,Self Enquiry,1,11.0,salaried,MALE,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,462615.0,結婚済み,車なし,0,0,0
33.0,Company Invited,1,11.0,salaried,MALE,1.0,3.0,standard,3.0,5.0,0,2,seniormanager,345690.0,未婚,車あり,0,0,0
58.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,4.0,0,1,manager,397245.0,未婚,車あり,0,0,0
33.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,5.0,0,2,manager,297855.0,結婚済み,車なし,0,0,0
32.0,Company Invited,1,9.0,smallbusiness,MALE,1.0,3.0,basic,3.0,1.0,0,1,executive,269895.0,独身,車なし,0,0,0
50.0,Company Invited,2,16.0,salaried,MALE,1.0,3.0,standard,4.0,5.0,1,1,seniormanager,427050.0,結婚済み,車なし,0,0,1
45.0,Company Invited,1,14.0,salaried,FEMALE,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,418080.0,未婚,車なし,0,0,0
26.0,Company Invited,2,17.0,largebusiness,MALE,1.0,3.0,basic,3.0,2.0,1,2,executive,264615.0,独身,車あり,0,0,1
47.0,Self Enquiry,2,15.0,smallbusiness,MALE,1.0,3.0,standard,3.0,2.0,1,1,seniormanager,415545.0,独身,車あり,0,0,0
47.0,Company Invited,2,10.0,largebusiness,MALE,1.0,3.0,basic,3.0,1.0,1,2,executive,258915.0,離婚済み,車なし,0,0,1
52.0,Company Invited,2,16.0,salaried,FEMALE,1.0,3.0,superdeluxe,4.0,5.0,0,1,avp,507870.0,独身,車なし,0,0,0
29.0,Company Invited,2,13.0,smallbusiness,MALE,1.0,5.0,deluxe,3.0,7.0,0,1,manager,303960.0,離婚済み,車あり,0,0,0
44.0,Self Enquiry,2,7.0,smallbusiness,MALE,1.0,5.0,deluxe,3.0,1.0,0,2,manager,309645.0,結婚済み,車あり,0,0,0
54.0,Company Invited,1,12.0,smallbusiness,MALE,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,400000.0,離婚済み,車なし,0,0,0
51.0,Company Invited,2,7.0,salaried,MALE,2.0,4.0,superdeluxe,3.0,3.0,0,2,avp,479610.0,結婚済み,車なし,0,0,0
59.0,Company Invited,1,13.0,salaried,MALE,2.0,4.0,superdeluxe,3.0,4.0,0,1,avp,463050.0,結婚済み,車なし,0,0,0
25.0,Company Invited,1,7.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,270735.0,独身,車あり,0,0,0
29.0,Company Invited,1,15.0,salaried,FEMALE,2.0,4.0,basic,3.0,5.0,0,2,executive,263865.0,離婚済み,車あり,0,0,0
21.0,Self Enquiry,2,13.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,3.0,0,2,executive,316770.0,結婚済み,車あり,0,0,1
56.0,Self Enquiry,1,10.0,smallbusiness,MALE,2.0,4.0,superdeluxe,3.0,6.0,0,1,avp,400000.0,結婚済み,車なし,0,0,0
55.0,Self Enquiry,3,6.0,smallbusiness,FEMALE,2.0,4.0,standard,3.0,4.0,0,2,seniormanager,358935.0,未婚,車なし,0,0,0
57.0,Company Invited,1,8.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,2,executive,263010.0,独身,車なし,0,0,0
37.0,Company Invited,1,13.0,largebusiness,MALE,2.0,4.0,basic,4.0,7.0,0,2,executive,273900.0,離婚済み,車あり,0,0,1
25.0,Self Enquiry,1,13.0,salaried,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,257295.0,離婚済み,車あり,0,0,0
53.0,Company Invited,2,14.0,smallbusiness,MALE,2.0,4.0,standard,4.0,5.0,0,2,seniormanager,438195.0,未婚,車なし,0,0,0
35.0,Company Invited,1,8.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,0,1,executive,267480.0,離婚済み,車なし,0,0,0
35.0,Company Invited,3,12.0,salaried,MALE,2.0,4.0,standard,4.0,1.0,0,2,seniormanager,438210.0,離婚済み,車なし,0,0,0
36.0,Company Invited,1,11.0,smallbusiness,FEMALE,2.0,4.0,standard,3.0,2.0,0,2,seniormanager,371820.0,離婚済み,車なし,0,0,0
36.0,Company Invited,3,18.0,smallbusiness,FEMALE,2.0,5.0,standard,3.0,1.0,0,1,seniormanager,300000.0,離婚済み,車あり,0,0,0
38.0,Self Enquiry,2,5.0,salaried,MALE,2.0,4.0,standard,3.0,5.0,0,2,seniormanager,410000.0,離婚済み,車あり,0,0,0
49.0,Self Enquiry,3,15.0,smallbusiness,FEMALE,2.0,4.0,standard,4.0,2.0,0,1,seniormanager,370000.0,結婚済み,車なし,0,0,0
37.0,Self Enquiry,1,31.0,largebusiness,FEMALE,2.0,4.0,standard,3.0,2.0,0,1,seniormanager,393705.0,未婚,車あり,0,0,0
50.0,Self Enquiry,2,14.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,5.0,1,2,executive,263730.0,独身,車あり,0,0,1
51.0,Self Enquiry,2,10.0,salaried,MALE,2.0,4.0,standard,3.0,3.0,1,2,seniormanager,366900.0,独身,車なし,0,0,0
43.0,Self Enquiry,2,11.0,smallbusiness,MALE,2.0,4.0,basic,3.0,5.0,1,2,executive,262560.0,離婚済み,車あり,0,0,1
40.0,Self Enquiry,2,15.0,smallbusiness,FEMALE,2.0,4.0,deluxe,3.0,2.0,1,1,manager,437895.0,離婚済み,車あり,0,0,0
,Self Enquiry,1,9.0,largebusiness,MALE,1.0,3.0,basic,3.0,1.0,0,3,executive,269235.0,結婚済み,車あり,0,0,0
54.0,Self Enquiry,2,16.0,smallbusiness,MALE,1.0,1.0,superdeluxe,4.0,1.0,1,4,avp,428610.0,結婚済み,車なし,0,0,0
,Company Invited,2,15.0,largebusiness,FEMALE,1.0,4.0,basic,3.0,1.0,0,3,executive,243540.0,独身,車あり,0,0,1
26.0,Company Invited,2,17.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,256455.0,独身,車あり,0,0,0
45.0,Company Invited,1,23.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,5,executive,252360.0,結婚済み,車なし,0,0,0
31.0,Company Invited,3,14.0,salaried,FEMALE,1.0,3.0,basic,3.0,2.0,0,3,executive,260000.0,離婚済み,車なし,0,0,0
27.0,Company Invited,2,15.0,salaried,FEMALE,1.0,1.0,basic,3.0,2.0,0,3,executive,256890.0,結婚済み,車なし,0,0,0
40.0,Self Enquiry,1,11.0,salaried,FEMALE,1.0,2.0,deluxe,3.0,1.0,0,3,manager,331515.0,独身,車あり,0,0,0
,Company Invited,1,17.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,6.0,1,4,manager,270870.0,結婚済み,車あり,0,0,1
33.0,Self Enquiry,2,9.0,smallbusiness,MALE,2.0,4.0,basic,3.0,1.0,0,4,executive,320000.0,独身,車なし,0,0,1
20.0,Self Enquiry,2,35.0,smallbusiness,MALE,2.0,4.0,basic,3.0,3.0,0,3,executive,262500.0,結婚済み,車あり,0,0,1
58.0,Company Invited,2,15.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,3,executive,266790.0,離婚済み,車あり,0,0,0
33.0,Self Enquiry,1,17.0,smallbusiness,FEMALE,2.0,4.0,basic,4.0,2.0,1,3,executive,271980.0,独身,車あり,0,0,1
20.0,Company Invited,2,11.0,smallbusiness,MALE,2.0,4.0,basic,3.0,2.0,1,4,executive,300000.0,独身,車なし,0,0,1
32.0,Self Enquiry,2,28.0,smallbusiness,MALE,2.0,4.0,basic,3.0,5.0,1,4,executive,349995.0,離婚済み,車なし,0,0,1
34.0,Self Enquiry,2,20.0,salaried,FEMALE,2.0,4.0,basic,3.0,7.0,0,4,executive,270405.0,離婚済み,車あり,0,0,1
25.0,Company Invited,2,15.0,salaried,FEMALE,2.0,4.0,basic,3.0,7.0,0,3,executive,295065.0,独身,車なし,0,0,1
51.0,Self Enquiry,2,15.0,smallbusiness,FEMALE,1.0,4.0,basic,3.0,2.0,0,2,executive,274395.0,離婚済み,車なし,0,0,0
40.0,Company Invited,2,7.0,salaried,MALE,1.0,4.0,superdeluxe,3.0,5.0,0,2,avp,280200.0,離婚済み,車なし,0,0,0
26.0,Company Invited,3,11.0,salaried,MALE,1.0,4.0,standard,3.0,3.0,1,2,seniormanager,370000.0,結婚済み,車なし,0,0,1
22.0,Company Invited,2,9.0,largebusiness,MALE,1.0,4.0,basic,3.0,2.0,1,2,executive,254535.0,独身,車なし,0,0,1
46.0,Self Enquiry,1,10.0,salaried,MALE,2.0,3.0,deluxe,3.0,3.0,0,2,manager,,結婚済み,車あり,0,0,0
21.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,3.0,0,1,executive,258405.0,独身,車なし,0,0,0
24.0,Company Invited,2,14.0,salaried,MALE,2.0,3.0,standard,3.0,3.0,0,2,seniormanager,344400.0,独身,車なし,0,0,1
45.0,Self Enquiry,2,12.0,salaried,MALE,2.0,3.0,deluxe,3.0,5.0,0,2,manager,330000.0,離婚済み,車なし,0,0,0
33.0,Self Enquiry,1,7.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,1.0,0,1,executive,254205.0,離婚済み,車なし,0,0,0
33.0,Company Invited,1,16.0,salaried,MALE,2.0,3.0,deluxe,3.0,2.0,0,2,manager,288480.0,離婚済み,車なし,0,0,0
56.0,Company Invited,2,15.0,salaried,FEMALE,2.0,3.0,superdeluxe,3.0,2.0,0,2,avp,500000.0,結婚済み,車なし,0,0,0
36.0,Self Enquiry,1,13.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,500000.0,結婚済み,車なし,0,0,0
41.0,Company Invited,1,17.0,salaried,MALE,2.0,3.0,superdeluxe,4.0,3.0,0,2,avp,413865.0,独身,車なし,0,0,0
50.0,Self Enquiry,2,6.0,smallbusiness,MALE,2.0,3.0,superdeluxe,4.0,1.0,0,2,avp,460000.0,離婚済み,車なし,0,0,0
31.0,Self Enquiry,1,17.0,largebusiness,FEMALE,2.0,4.0,basic,3.0,5.0,0,1,executive,257340.0,独身,車あり,0,0,0
22.0,Company Invited,3,16.0,salaried,FEMALE,2.0,3.0,basic,3.0,2.0,0,1,executive,255405.0,独身,車なし,0,0,0
38.0,Company Invited,2,16.0,smallbusiness,FEMALE,2.0,3.0,basic,4.0,5.0,0,2,executive,270000.0,独身,車なし,0,0,1
38.0,Company Invited,1,18.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,5.0,0,3,executive,249315.0,独身,車あり,0,0,0
31.0,Company Invited,2,16.0,salaried,MALE,2.0,3.0,basic,3.0,2.0,0,1,executive,259680.0,離婚済み,車なし,0,0,0
18.0,Company Invited,2,8.0,largebusiness,MALE,2.0,3.0,basic,3.0,7.0,0,2,executive,242280.0,独身,車なし,0,0,1
52.0,Company Invited,3,8.0,smallbusiness,MALE,1.0,3.0,king,3.0,1.0,0,5,vp,274515.0,独身,車あり,0,0,0
45.0,Company Invited,3,9.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,4.0,0,3,executive,264480.0,結婚済み,車あり,0,0,0
30.0,Company Invited,1,12.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,5.0,0,1,executive,258390.0,離婚済み,車なし,0,0,0
38.0,Company Invited,2,14.0,salaried,MALE,2.0,3.0,deluxe,3.0,2.0,0,2,manager,260310.0,独身,車あり,0,0,1
43.0,Company Invited,2,8.0,salaried,MALE,2.0,3.0,standard,3.0,2.0,0,1,seniormanager,445575.0,離婚済み,車なし,0,0,0
43.0,Self Enquiry,3,16.0,smallbusiness,MALE,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,436320.0,独身,車なし,0,0,0
35.0,Company Invited,3,16.0,salaried,FEMALE,2.0,4.0,deluxe,3.0,3.0,0,1,manager,371775.0,結婚済み,車あり,0,0,0
26.0,Company Invited,1,14.0,smallbusiness,FEMALE,1.0,3.0,basic,3.0,2.0,0,4,executive,267015.0,独身,車あり,0,0,1
46.0,Company Invited,3,17.0,largebusiness,FEMALE,2.0,3.0,standard,4.0,5.0,0,2,seniormanager,336735.0,離婚済み,車なし,0,0,0
52.0,Self Enquiry,2,17.0,smallbusiness,MALE,2.0,3.0,standard,4.0,2.0,0,1,seniormanager,404385.0,独身,車なし,0,0,0
39.0,Self Enquiry,1,7.0,salaried,MALE,2.0,3.0,standard,3.0,2.0,0,2,seniormanager,365130.0,離婚済み,車あり,0,0,0
46.0,Self Enquiry,2,9.0,largebusiness,FEMALE,2.0,3.0,superdeluxe,4.0,2.0,0,2,avp,483855.0,独身,車なし,0,1,0
43.0,Self Enquiry,1,16.0,salaried,FEMALE,2.0,3.0,king,4.0,1.0,0,1,vp,474720.0,独身,車あり,0,0,0
46.0,Self Enquiry,1,13.0,smallbusiness,MALE,2.0,3.0,basic,3.0,4.0,0,2,executive,257970.0,独身,車あり,0,0,0
45.0,Self Enquiry,1,17.0,smallbusiness,FEMALE,2.0,3.0,basic,3.0,1.0,0,2,executive,268350.0,独身,車なし,0,0,0
55.0,Self Enquiry,1,17.0,salaried,FEMALE,2.0,3.0,deluxe,3.0,1.0,0,2,manager,400320.0,結婚済み,車あり,0,0,0
55.0,Self Enquiry,2,8.0,salaried,FEMALE,1.0,3.0,king,3.0,2.0,0,3,vp,420780.0,結婚済み,車なし,0,0,0
50.0,Company Invited,1,13.0,salaried,MALE,1.0,3.0,standard,3.0,1.0,0,4,executive,269235.0,離婚済み,車あり,0,0,0
58.0,Self Enquiry,2,11.0,salaried,MALE,2.0,3.0,basic,3.0,2.0,1,1,executive,270540.0,独身,車あり,0,0,0
27.0,Self Enquiry,2,7.0,salaried,FEMALE,2.0,3.0,basic,3.0,1.0,1,2,executive,258285.0,離婚済み,車なし,0,0,1
55.0,Self Enquiry,2,15.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,1,1,seniormanager,274380.0,独身,車あり,0,0,1
36.0,Company Invited,3,14.0,smallbusiness,FEMALE,2.0,3.0,superdeluxe,3.0,4.0,1,1,avp,431010.0,独身,車あり,0,0,0
50.0,Company Invited,3,13.0,salaried,FEMALE,2.0,3.0,standard,3.0,2.0,1,2,seniormanager,373845.0,未婚,車あり,0,0,0
34.0,Company Invited,2,14.0,smallbusiness,MALE,3.0,5.0,basic,3.0,6.0,0,1,executive,,独身,車あり,0,0,0
24.0,Company Invited,3,15.0,salaried,FEMALE,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,353670.0,結婚済み,車なし,0,0,0
53.0,Self Enquiry,1,14.0,salaried,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,449715.0,独身,車なし,0,0,0
38.0,Self Enquiry,2,10.0,salaried,FEMALE,3.0,4.0,standard,3.0,1.0,0,2,seniormanager,398475.0,離婚済み,車なし,0,0,0
45.0,Self Enquiry,1,8.0,salaried,FEMALE,3.0,4.0,standard,3.0,2.0,0,2,seniormanager,390000.0,未婚,車あり,0,0,0
50.0,Self Enquiry,1,36.0,smallbusiness,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,1,avp,490000.0,結婚済み,車なし,0,1,0
38.0,Self Enquiry,3,14.0,smallbusiness,MALE,3.0,4.0,basic,4.0,2.0,0,2,executive,265110.0,独身,車あり,0,0,0
41.0,Self Enquiry,1,8.0,largebusiness,MALE,3.0,4.0,superdeluxe,3.0,3.0,0,2,avp,385905.0,独身,車なし,0,0,0
39.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,1.0,3.0,standard,3.0,3.0,0,2,seniormanager,411855.0,独身,車あり,0,0,0
30.0,Self Enquiry,1,8.0,salaried,MALE,1.0,3.0,basic,3.0,1.0,0,2,executive,257025.0,離婚済み,車なし,0,0,0
27.0,Company Invited,1,8.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,264345.0,独身,車なし,0,0,0
31.0,Self Enquiry,2,8.0,smallbusiness,MALE,1.0,3.0,basic,3.0,7.0,0,2,executive,251850.0,独身,車あり,0,0,1
46.0,Self Enquiry,1,11.0,smallbusiness,MALE,1.0,3.0,king,3.0,6.0,0,2,vp,467460.0,離婚済み,車あり,0,0,0
45.0,Company Invited,1,7.0,salaried,FEMALE,1.0,3.0,superdeluxe,3.0,2.0,0,2,avp,476955.0,結婚済み,車あり,0,0,0
52.0,Company Invited,1,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,4.0,0,2,executive,277005.0,独身,車あり,0,0,0
35.0,Self Enquiry,1,7.0,largebusiness,FEMALE,2.0,4.0,basic,3.0,2.0,0,2,executive,245340.0,独身,車あり,0,0,0
43.0,Self Enquiry,1,9.0,smallbusiness,FEMALE,2.0,4.0,basic,3.0,1.0,0,2,executive,278595.0,離婚済み,車なし,0,0,0
27.0,Company Invited,2,15.0,largebusiness,MALE,2.0,4.0,basic,3.0,6.0,1,2,executive,296055.0,独身,車あり,0,0,1
36.0,Self Enquiry,2,8.0,salaried,MALE,2.0,4.0,basic,3.0,2.0,0,2,executive,264990.0,独身,車なし,0,0,0
40.0,Company Invited,1,14.0,smallbusiness,FEMALE,1.0,1.0,standard,3.0,1.0,0,1,seniormanager,430470.0,結婚済み,車なし,0,0,0
33.0,Company Invited,2,18.0,smallbusiness,MALE,1.0,3.0,superdeluxe,3.0,1.0,0,1,avp,342585.0,独身,車あり,0,0,1
31.0,Company Invited,2,16.0,largebusiness,FEMALE,1.0,3.0,basic,3.0,1.0,0,2,executive,260000.0,独身,車あり,0,0,1
31.0,Company Invited,2,14.0,salaried,FEMALE,1.0,3.0,deluxe,3.0,2.0,0,1,manager,332460.0,独身,車あり,0,0,0
28.0,Company Invited,1,14.0,salaried,MALE,1.0,,deluxe,3.0,3.0,0,2,manager,300000.0,独身,車なし,0,0,0
26.0,Self Enquiry,2,18.0,smallbusiness,MALE,1.0,1.0,basic,3.0,5.0,0,2,executive,256650.0,離婚済み,車あり,0,0,1
,Company Invited,1,13.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,275160.0,離婚済み,車あり,0,0,0
55.0,Self Enquiry,1,24.0,smallbusiness,MALE,2.0,3.0,superdeluxe,3.0,7.0,0,2,avp,428025.0,結婚済み,車なし,0,1,0
58.0,Self Enquiry,1,16.0,salaried,MALE,1.0,1.0,superdeluxe,3.0,6.0,0,1,avp,461010.0,結婚済み,車なし,0,0,0
31.0,Company Invited,3,16.0,smallbusiness,MALE,1.0,3.0,basic,3.0,2.0,0,1,executive,245805.0,離婚済み,車なし,0,0,0
32.0,Company Invited,2,15.0,smallbusiness,MALE,1.0,3.0,basic,3.0,3.0,0,2,executive,256545.0,独身,車あり,0,0,1
60.0,Self Enquiry,1,11.0,smallbusiness,MALE,1.0,1.0,superdeluxe,4.0,6.0,1,1,avp,400000.0,結婚済み,車なし,0,0,0
33.0,Self Enquiry,2,23.0,smallbusiness,FEMALE,1.0,1.0,basic,3.0,2.0,1,1,executive,260445.0,離婚済み,車あり,0,0,0
27.0,Company Invited,2,6.0,largebusiness,MALE,1.0,3.0,standard,3.0,2.0,1,2,seniormanager,440280.0,独身,車あり,0,0,1
40.0,Self Enquiry,2,12.0,salaried,MALE,2.0,4.0,superdeluxe,3.0,2.0,0,2,avp,481905.0,独身,車なし,0,0,0
25.0,Self Enquiry,2,16.0,smallbusiness,MALE,3.0,5.0,basic,3.0,3.0,0,1,executive,333030.0,離婚済み,車あり,0,0,1
28.0,Company Invited,2,9.0,smallbusiness,MALE,3.0,5.0,basic,3.0,7.0,0,2,executive,310575.0,独身,車あり,0,0,1
